puzzle,solution
...fae..gecg..i..a.a...c.e.ieh...fabd....h.ic.......gdbf..h.d.e..cd.fa....e.....f,hibfaecdgecghdibfafadgbciehiehcgdfabdgabfheiccbfeiahgdbfiahgdceghcdefabiadeicbghf
b..d..g.f.g.fb.d.af.a..e....e..abi...i....e...bc..f.d.i.da...ch...if..gdgahb.....,bhidcagefcgefbidhafdaghecbideghabifchifcgdeababceifhdgifdaegbchecbifhagdgahbdcfie
..fe.a.ib.e.dg..hfd.c.....ef.g...i.a.a..f....bd....fch.f.a.h..d...g..h..g...ec.bi,hgfecadibaebdgichfdicbhfgaefcghdbieaiahcfebdgbdeiagfchcfiabhegdebagidhfcghdfecabi
c.eg.d.....a.i...cg.feb...a..h..ad.b.b....e.hfedch......i..h.bgd..ifg.ae..g......,ciegadbhfbdahifgecghfebcidaighfeadcbabcdgiefhfedchbagiefiadhcbgdcbifghaehagbcefid
.b.de....a.g.c.d.ifh.i.g.e...e.di.b...b..aedcd......ih..af......gi.bch.d.......ae,ibcdehfgaaegbcfdhifhdiagcebhaecdigbfgibhfaedcdcfegbaihbdafheicgegiabchfdcfhgidbae
.b..c..a.h.db...g..c...de.f..e..c..afih.bg..dca..eh.......i..d...fcgah.egei......,ebgfcidahhfdbaeigcicaghdebfdgeifcbhafihabgcedcabdehgfiahceibfdgbdfcgahiegeihdfacb
f.d..ea.......g.......c.......ih..a.....f...h.aheb.c.ih.cd.ige.b.a..fihddiebg.f..,fbdhieagcceiadghbfahgfcbdieedfihcbagicbgfaedhgahebdcfihfcdaigebbgacefihddiebghfca
aechb.d..b.i.ef.......dc.i...f..ab.d..a.....fi.....h.cf.b..g..adc...bg..g.hi...be,aechbidfgbdigefachhfgadceibehfciabgdcbadghiefigdbfehacfibehgcdadcefabghigahicdfbe
........f..a.fh.g..hbd..c....fedia.gaeg..fi...dh.g.f....ig....cd..a...b.g....deah,cgdiabhefeiacfhbgdfhbdegciabcfediahgaeghcfidbidhbgafcehaigbedfcdfeahcgbigbcfideah
....b.ai.fd..gabe..haief..c.fc.h..g....e.......h.a.i..h..a.gf.e.gb...h.ic..bi....,gcehbdaiffdicgabehbhaiefgdcifcdhbegadagefichbebhgacifdhidacgfbeagbfdehcicefbihdag
..d.a..gbaigeb..dcfc.....ea....chbf..a.f.b....f..i...g.b..e..hi.e..d......ihfg...,ehdiacfgbaigebfhdcfcbghdieaigeachbfddacfgbeihbfhdiecaggbfceadhiheabdigcfcdihfgabe
.fgcb...e..e..hcb.b..i....de..f..bh.fah....cg....ead.fh.a..igf.dcib.............b,ifgcbdhaeadegfhcbibhciaefgdeidfcgbhafahdibecgcgbheadifhbaedigfcdcibgfaehgefahcidb
...hb.c.ee..cd..b...h......iac..dhe..e.b.hf..h..e...gcf.a...e.gg..i..bf.b...f.i.d,adfhbgcieegicdfabhcbhaiegdfiacfgdhebdegbchfaihfbeaidgcfiadhbecgghdiecbfabcegfaihd
ia.d.g.hc..ca.f..e.....id..deihb..a.acb......f.h.ade..e..fd....cb.e....d.f..i....,iafdegbhcbdcahfigeghebcidfadeihbcgafacbgfehdifghiadecbeigfdacbhcbaeghfidhfdcibaeg
..bc.d..e.h.i.e...e.f...b...fdha.geiie...cd....h...cf..cgb..ed.h.i.egfa..........,gabcfdhiedhcibeagfeifghabcdcfdhabgeiieafgcdhbbghedicfaacgbifedhhbidegfacfdeachibg
.i..ehd.ch..f..e..dgec....h.hg...ae..d..h.g.f..c.d.....ba.fi..e...d.ei..i...a..fb,aifbehdgchcbfgdeiadgeciafbhbhgicfaedediahbgcffacedgbhigbahficdecfhdbeiagiedgachfb
ib.d...a.e..b..h.fdfh..gbc.b..efc.ga.e.gi..h.....a......i.d.c.eac.....f.fd..g....,ibcdhfeageagbcihdfdfhaegbcibhdefcigaceagidfhbgifhabdechgifdacbeaceibhgfdfdbcgeaih
i..d..b.c.hdb..i.e...a.ihg.f.c.b....ha..i.....d.cf.e.......g.hb.e.fd..c...fi..dea,igadehbfcchdbgfiaeefbacihgdfichbeadghaegidcbfbdgcfaeihdcieagfhbaehfdbgcigbfihcdea
..f.c...did..b...gb.e..gfac..ga..e.bhe..i.......eg..i.f...aig....i..h.c.eadgf....,agfhceibdidcfbahegbheidgfaccigahdefbhebcifdgadfaegbcihfchbaigdegbidehacfeadgfcbhi
.a.e..fgi.f..g....hc......e.id.ag...g.a.d...h.....b......c.fgeacgf...id.a...bdhcf,dabechfgiifebgachdhcgdfiabeeidhagbfcgbafdceihfhciebdagbdhcifgeacgfaheidbaeigbdhcf
.i...b...e.c..afi.dbgfe.c.h.ef.b..hgc.hei....bgd........bcg...igd..fe....c.......,fiahcbdgeehcgdafibdbgfeicahiefdbcahgcaheigbfdbgdahfiecafbcghedigdibfehcahceiadgbf
.c....eb.b..cg...fi.d.fb.gc.dcg.a....fi...ghd..gdi.cae....ae.c...bh...ei.........,gcfadiebhbeacghidfihdefbagcedcghafibafibecghdhbgdifcaedihfaebcgfabhcgdeicgeibdhfa
.......e..a..fghc.e.fi...g..ca.i..dgbi.fc...ad..g.b.i..d..ga.fcc..dh.ga..g.......,gbcadhfeiiadefghcbehfibcagdfcahiebdgbigfcdehadehgabcifhdebgaifccfbdhigaeagicefdbh
c.gb.fa..f..h....gd.aige..cg.f......h.cf.g.idi......f.bc.gf......i...b......bicgh,cegbdfahifibhcadegdhaigefbcgdfeibhcahbcfageidiaedhcgfbbchgfdiaeagicehbdfefdabicgh
hf..c..ag..abgh.e...gf.a....dc....be....a..dif.id..g.....gi..f..g...d.h.bi.hec...,hfdecibagicabghdefebgfdacihadcihgfbegebcafhdifhidbegcadahgibefccgeafdihbbifhecagd
g.h..ibec...ge.....d..hb.g.....c....h..bdef..db..i...ea.g.b...f.c..gf..bb.fi.dg..,gahdfibeccibgeahfdfdechbagiefiachdbghgcbdefiadbafigcheahgebcidficdhgfeabbefiadgch
..fbie....eb..c.dii...gd..a...g.h.i.a.......hhg.ic...b..h..fg...d.ch.baffb.d.....,dafbiehcggebhacfdiihcfgdebabcdgfhaieafiedbcghhgeicadfbcihabfgededgchibaffbadegihc
..hf.....i.cdehag..dfi...c.a.....h.b.hi..fc.g.gdc.b..i.fg.c.........g...d.bafi...,gahfbciedibcdehagfedfigabchacegidhfbbhieafcdgfgdchbeaihfgbcediaciahdgfbedebafighc
b.c....hfd....c...f.ae....ce.dc.a.b.g.....c....i..gdf...gad...hah..cbi.dc.fh..b..,bgciadehfdehgfcaibfiaebhgdcefdciahbggabdhfceihcibegdfaibgadefchahefcbigdcdfhgibae
f.a.be..d.g.f..ab...c..i.eh.e..ihgdbbh.c.gi...a...b..fec.i.....i.............dbig,fiahbecgdhgefdcabidbcgaifehcefaihgdbbhdcfgiaegaidebhcfecbigfdhaidgbhaefcafhecdbig
egh.i...c...g....dai..b...gbe...a...i..fc.h..chg..id..ga.i.d.f.dc.a...g.h.ec.....,eghdifabcfbcgaheidaidebcfhgbefhdagciidafcghebchgbeidafgabihdcfedciafebghhfecgbida
d.fga.h.eb..c..fi..e..bf..c.bi.c..g....eg.i...agi.b..f..b.dc.egghc..e............,dcfgaihbebgacehfidiehdbfgachbifcdegacfdegaihbeagihbdcffibhdcaegghcafebdiadebigcfh
cf.g.h..i....fd...ag..cih.d.efh.a....i.fge.b.d..c..eh...h.e.ga...ad..b.e.b.......,cfdgbhaeiehiafdcgbagbecihfdbefhdaicghicfgedbadagcibehfidhbefgacfcadhgbiegbeiacfdh
ag.......e.h.a.d.cicbd....gc.i..a..d.a.f.e.b....ichg......b...a..e.fd....da..chgf,agdceibfhefhgabdicicbdhfaegceibgafhdhagfdecbidbfichgaefichbgedagheafdicbbdaeichgf
...i..d.c.b..eafigd...fb.e.g..acehfbc.e.b.ga...a....d.....a.i...c.h.f.....d....hf,eafighdbchbcdeafigdigcfbaehgdiacehfbchefbdgaibfaghicdefehbagicdicbhdfegaagdeicbhf
da.....c.i.e..b......a..gb.fc.ga....e.idbc..a..g.....hhi.bg.....dfc..h..b..hfad.g,dabehgicfigefcbahdcfhadigbefcdgahbeiehidbcfgaabgiefcdhhiabgdefcgdfciehabbechfadig
ag.ei.......d...ia...b..f.c.b..a...g...fbi..e.a.c...fb...ae..b..d....c..gheicbadf,agceifbhdhfbdgceiaiedbhafgcfbihaedcgdcgfbihaeeahcdgifbcifaedgbhbdagfhceigheicbadf
...daf..h.agcehd..f..g.i.a.ae........g.if.a..cdf.g.h......hb.cggb.e.c.h.i........,eicdafbghbagcehdiffhdgbicaeaeihcdgfbhgbifeadccdfbgaheidfeahbicggbaeicfhdichfdgeba
f..e.g.di..d......i.g.c.e...dh..a.ef.a..d..hgg..h.e..a.iafe..c..fb..i...d.eca....,fhcebgadiaedihfbgcibgacdefhbdhgiacefeafbdcihggcihfedbahiafebgcdcfbdgihaedgecahfib
.e.h....g....gc.de...d.if....e..gdcfa..f.eg...f..bd.h.g.h.df...f..ea....e....bhfi,deihfacbghafbgcidecgbdeifahbheaigdcfacdfhegibifgcbdehagbhidfaecficeahbgdedagcbhfi
....f.ghe.ce.h.bia....ibd.cb..i...chci..b.edf..a.e...b..fbdi.a.g.ih..............,idbcfaghefceghdbiaagheibdfcbedigfachcigabhedfhfadecigbehfbdicaggaihcefbddbcfaghei
.c.bi....f.i.a.......eg..fach.f.e......a...bf.fb.d.e..d......hiia..chbegh.ei..d..,gcabifhdefeihadgcbbdhegcifachgfbeaideidahgcbfafbcdieghdbcgeafhiiafdchbeghgeifbdac
eg.bf.aidcdia.eb..b..i....c..a..f..hhc...a.b....c....e.h....g..d......eagf....icb,eghbfcaidcdiahebfgbafidgehcieadbfcghhcdgeafbifbgcihdaeahbecigdfdicfgbheagfehadicb
..a.beh..eb..h.c.af......d...e..f.h....hecf..g..b..e..d.fe.a.......dha..hacgfbi..,cgadbehfiebdfhicgafhicagbdeiceagfdhbadbhecfiggfhbideacdifecagbhbegidhacfhacgfbied
..bh..gcee....bi.a.ihce....b.ge..c.i.de....a.i.ab........f.hb.df..g.i..h...ab...c,dabhifgceecfdgbihagihceadbfbhgeadcficdeifghabifabhcedgaeifchbgdfbcgdiaehhgdabefic
g.bi...df.a.......f.......e..i..eg..bfh..ic..a.g.cdfhi.....ad.hd..gif..a.ba.hc...,gcbiehadfhaefdgbicfidcabhgecdihfegabbfhagicedaegbcdfhiigfebadchdhcgifebaebadhcifg
...dbcei...be..a.hi..a.f.b.......i....c.id..fg.......caifg.e.cb.d...bfaic..if....,fhadbceigdcbegiafhigeahfcbdbfdcegihahacbidgefgeifahbdcaifgdehcbedghcbfaicbhifadge
...b....e....a..h..iehgf.c.gbdif....ecf..a..ii.....f.d....i.e....g.c..ia...aebhgf,aghbdcifebfceaidhgdiehgfacbgbdifecahecfdhagbiihacbgfedfabgihedchegfcdbiacdiaebhgf
..gbh..c.....adh..hba..cd........gb.i.fhgbc....b.ea...gc.a..i...fh...ae.d.....bhg,fdgbhiecaeicgadhfbhbaefcdgiahdcifgbeiefhgbcadcgbdeafihgceabhidfbfhidgaecdaifcebhg
....afe.d..f..g.i.a.hec...fgh......ed.b.i.g...f..gei...a.........dae..h.h..gfcadb,ibghafecdecfbdghiaadhecibgfghicbadfedebfihgaccfadgeibhbacihdfegfgdaebchihiegfcadb
.dce..b.age..b..h..a..che....g..id...h......i.fd.eb....iahd.g.b....fac.....i..afh,hdceifbgagefabdihcbaigchedfabgfhidcechedagfbiifdcebhagfiahdcgebeghbfaciddcbigeafh
..gi...d.ifd.ae......f..ah.gbcd.af..hd..e..........d.g....fd..c.e...ibg.di.bgch..,ahgicbedfifdhaegcbecbfdgahigbcdiafehhdigefcbafaecbhdigbghefdiaccefahibgddiabgchfe
h..ci.....da.gechi.c..f..e...hf..b..c..hb..ie....e...f....d....e.bg.fadcgfdi.....,hgecidfabfdabgechibciafhgeddehfcibgacafhbgdieibgdeahcfahcedbifgeibghfadcgfdiacebh
.e...hbc...cd.e.a......i..f...h.af..e.g.f....d...c.ih....g.c.f....eh.aicicfadbh..,aedfghbcificdbegahbghcaiedfcbiheafgdehgifdcbadfabcgihehaegicdfbgdbehfaicicfadbheg
...f.g...f..ah..ed.hedc..faed....h.f.......d.a..if..c.c.b.i..h..e...h.a.h..edf.bc,dbafegcihficahbgedghedcibfaedibachgfbcfhgeadiaghifdecbcfbgiadheiedcbhfaghagedfibc
......h.e..d.h.ic..bif...g...befi...e...ah........gae...h...bf...acbf..ibfe..dgac,fcgidahbeaedghbicfhbifecdgagabeficdhedcbahfigihfdcgaebcihagebfddgacbfehibfehidgac
.gd..a..ha.cb.h..i..idf...gicfh.....b..ec...f......ih......c....iea.f...gfhiedb..,fgdciaebhaecbghdfihbidfecagicfhdgaebbhaecigdfedgfabihcdabghcfiecieabfhgdgfhiedbca
.ed.c............hbh.eadi.g..i.dc....c..gfahbg..bhe.i.....e...i..c.ib....i...gcbe,iedgchbfacagfbiedhbhfeadicghbiadcgefdceigfahbgfabhedicfdbceahgiegchibfadaihdfgcbe
da.g.f.ic..hb.ia..ge.a..fd...f.h.ia.hd.i.a.......fcgb.a.ch..eg..hd..e............,dabgefhiccfhbdiaeggeiachfdbbcfehgiadhdgibacfeeiadfcgbhabchidegfihdfgebcafgecabdhi
acegb.fidi.....a...bd.i.hg.g....bid...i...e.cd.cif..h...abe.c................igbh,acegbhfidihgfdeacbfbdaichgegahecbidfbfidhgeacdecifabhghgabedcficibhgfdeaedfcaigbh
.b.f..i......gb.ed.g..id...b....idh...ghdfe..ahde.c.....cbh.f...i....ag.g.h.f.c..,dbafehicgcfiagbhedhgecidbfabefgaidhcicghdfeabahdebcgifeacbhgfdifibdceaghgdhifacbe
.f...bg..g..ae.h..ic.gf..ebb.h....cde...d.bhgf.d.h.i..dh....e.icegfi.............,hfedcbgiagdbaeihfcicagfhdebbiheagfcdeacidfbhgfgdbhciaedhfcbaegicegfidabhabihgecdf
.ag.fhc.ic..ai.d....e..cfa.a.b.e...d.i...g.hfe......c...i.g.......fc.i.agc.ihd...,bagdfhceicfhaiedbgidegbcfahahbcefgiddicbagehfegfhdiacbfbiegahdchedfcbigagcaihdbfe
.gie....b.....d.ea.....bgfd..bfe...c.d....e...i..c..bfbeg.d..a.h...a.bdi.a....cge,dgiefahcbfbhcgdieaecahibgfdahbfegdiccdfabiehggiedchabfbegidcfahhfcgaebdiiadbhfcge
.iahd...eb..af.c....g..eh.b....ga.f....f...b..cfd.i....f.bhdi.a......b.f.b...fehg,ciahdbfgebehafgcidfdgciehabihbegadfcegdfchabiacfdbigehgfebhdicahaigecbdfdbciafehg
....hbg...hbf...ceg.fi....h..ea..b.cc.d.bg....b.ec.dag...b.he...f...c....eiga....,eiachbgfddhbfgaicegcfideabhigeafdbhccadhbgfeifbhecidagadcbihegfbfgdechiaheigafcdb
...i.e.baehi.bg.dcb.g.d...hfebc..a...ga..f..dd.......e.f...h.a.a..e.b....bed.....,cdfihegbaehiabgfdcbagfdciehfebcidahghgabefciddichgabfeifdgcheabachefbdgigbedaihcf
